id,user_id,applicant_id,interaction_type,element,rating,focus_time,timestamp
159,18,2,hover,applicantList,81,0.411533,1694067651270
160,18,11,hover,applicantList,53,0.429683,1694067662259
161,18,2,hover,applicantList,81,0.411533,1694067662269
162,18,4,hover,applicantList,24,0.436533,1694067662343
163,18,12,hover,applicantList,81,0.666767,1694067664109
164,18,10,hover,applicantList,69,0.454317,1694067664647
165,18,11,hover,applicantList,53,0.429683,1694067676738
166,18,11,hover,rating_gender,36,0.528633,1694067677334
167,7,0,tour,tour_mySummary_tab,0,0.0,1694067687734
168,7,0,tour,tour_time_plot,0,0.0,1694067696592
169,7,0,tour,tour_rating_plot,0,0.0,1694067716329
170,7,0,tour,tour_time_gender_plot,0,0.0,1694067733025
171,7,0,tour,tour_applicant_list,0,0.0,1694067742497
172,7,0,tour,tour_profile,0,0.0,1694067748711
173,7,0,tour,tour_last_step,0,0.0,1694067755866
174,7,0,tourFinished,,0,0.0,1694067760148
175,7,0,hover,time_gender,96,3.31877,1694067766369
176,7,1,hover,time_gender,90,4.91572,1694067773338
177,7,2,hover,time_gender,83,6.69478,1694067777383
178,7,4,hover,time_gender,88,2.7159,1694067780599
179,7,3,hover,time_gender,85,3.06262,1694067791790
180,7,7,hover,time_gender,64,3.41027,1694067794509
181,7,6,hover,time_gender,64,3.41027,1694067795154
182,7,6,hover,time_gender,67,3.77573,1694067796356
183,7,8,hover,time_gender,96,4.93165,1694067798086
184,7,5,hover,time_gender,65,3.16013,1694067800053
185,7,12,hover,time_gender,92,3.69855,1694067802132
186,7,11,hover,time_gender,66,3.97013,1694067807486
187,7,9,hover,time_gender,82,4.25085,1694067809340
188,7,10,hover,time_race,82,4.25085,1694067814028
189,7,10,hover,time_race,66,3.97013,1694067816252
190,7,12,hover,applicantList,65,3.16013,1694067820594
191,7,6,hover,applicantList,64,3.41027,1694067821685
192,7,1,hover,applicantList,96,3.31877,1694067821726
193,7,5,hover,applicantList,96,4.93165,1694067823877
194,7,5,hover,time_race,83,6.69478,1694067830869
195,7,4,hover,time_race,96,4.93165,1694067837814
196,7,5,hover,time_race,82,4.25085,1694067839351
197,7,10,hover,time_race,66,3.97013,1694067840533
198,7,9,hover,time_race,82,4.25085,1694067842732
199,7,8,hover,applicantList,67,3.77573,1694067848564
200,7,12,hover,applicantList,65,3.16013,1694067848626
201,7,8,hover,applicantList,67,3.77573,1694067849194
202,7,8,click,recommendation,68,3.77573,1694067852953
203,7,12,hover,applicantList,65,3.16013,1694067861253
204,7,5,hover,applicantList,96,4.93165,1694067861295
205,7,2,hover,applicantList,90,4.91572,1694067861409
206,7,10,hover,applicantList,82,4.25085,1694067861355
207,7,4,hover,applicantList,83,6.69478,1694067861722
208,7,4,click,applicantList,83,6.69478,1694067861800
209,7,4,enter,summary_view,0,0.0,1694067881328
210,7,1,leave,summary_view,0,0.0,1694067881410
211,7,1,enter,summary_view,0,0.0,1694067881412
212,9,0,tour,tour_mySummary_tab,0,0.0,1694067883616
213,7,12,hover,applicantList,65,3.16013,1694067883588
214,7,6,hover,applicantList,64,3.41027,1694067884795
215,7,1,hover,applicantList,96,3.31877,1694067884863
216,7,11,hover,applicantList,92,3.69855,1694067891601
217,7,7,hover,applicantList,85,3.06262,1694067891650
218,7,9,hover,applicantList,66,3.97013,1694067891724
219,7,7,hover,applicantList,85,3.06262,1694067894238
220,7,11,hover,applicantList,92,3.69855,1694067898483
221,7,3,hover,applicantList,88,5.68817,1694067901903
222,7,11,hover,applicantList,92,3.69855,1694067905553
223,7,7,hover,applicantList,85,3.06262,1694067905608
224,7,9,hover,applicantList,66,3.97013,1694067905651
225,7,1,hover,applicantList,96,3.31877,1694067905701
226,7,6,hover,applicantList,64,3.41027,1694067905721
227,7,12,hover,applicantList,65,3.16013,1694067905757
228,7,8,hover,applicantList,68,3.77573,1694067905837
229,7,4,hover,applicantList,83,7.00135,1694067906515
230,7,2,hover,applicantList,90,4.91572,1694067908778
231,7,4,hover,applicantList,83,7.00135,1694067911438
232,7,2,hover,applicantList,90,4.91572,1694067912619
233,7,10,hover,applicantList,82,4.25085,1694067916806
234,7,2,hover,applicantList,90,4.91572,1694067920633
235,7,4,hover,applicantList,83,7.00135,1694067921499
236,7,2,hover,applicantList,90,4.91572,1694067922910
237,7,10,hover,applicantList,82,4.25085,1694067928806
238,7,5,hover,applicantList,96,4.93165,1694067929154
239,7,8,hover,applicantList,68,3.77573,1694067935691
240,7,12,hover,applicantList,65,3.16013,1694067943563
241,7,6,hover,applicantList,64,3.41027,1694067947407
242,9,0,tour,tour_time_plot,0,0.0,1694067949308
243,7,1,hover,applicantList,96,3.31877,1694067948776
244,7,9,hover,applicantList,66,3.97013,1694067953004
245,7,7,hover,applicantList,85,3.06262,1694067960277
246,7,11,hover,applicantList,92,3.69855,1694067962386
247,7,3,hover,applicantList,88,5.68817,1694067962978
248,9,0,tour,tour_rating_plot,0,0.0,1694067983670
249,9,0,tour,tour_time_gender_plot,0,0.0,1694068019377
250,9,0,tour,tour_applicant_list,0,0.0,1694068041457
251,9,0,tour,tour_profile,0,0.0,1694068079979
252,9,0,tour,tour_last_step,0,0.0,1694068102562
253,9,0,tourFinished,,0,0.0,1694068125840
254,9,0,hover,time_race,93,3.09265,1694068139633
255,9,11,hover,time_race,91,3.43507,1694068142737
256,9,5,hover,time_gender,65,1.11362,1694068146074
257,9,4,hover,time_gender,75,0.955867,1694068149177
258,9,1,hover,time_gender,65,1.11362,1694068149247
259,9,4,hover,time_gender,75,0.955867,1694068154046
260,9,1,hover,time_gender,89,4.46767,1694068155847
261,9,9,hover,time_gender,82,10.7578,1694068158676
262,14,0,tour,tour_mySummary_tab,0,0.0,1694068157257
263,14,0,tour,tour_time_plot,0,0.0,1694068164144
264,9,7,hover,rating_gender,89,4.46767,1694068176825
265,9,9,hover,rating_race,72,3.908,1694068179959
266,9,6,hover,rating_race,75,0.955867,1694068180409
267,9,1,hover,rating_race,72,3.908,1694068181661
268,9,6,hover,rating_race,78,1.92277,1694068185590
269,9,2,hover,applicantList,47,1.64123,1694068189700
270,9,7,hover,applicantList,82,10.7578,1694068190677
271,9,7,click,applicantList,82,10.7578,1694068191702
272,9,7,enter,summary_view,0,0.0,1694068198706
273,14,0,tour,tour_rating_plot,0,0.0,1694068200312
274,9,0,hover,genderTimeMeanLine,0,0.0,1694068211024
275,9,0,hover,time_gender,47,1.64123,1694068211054
276,9,1,hover,applicantList,75,0.955867,1694068215015
277,9,1,hover,time_gender,78,1.92277,1694068217409
278,9,3,hover,time_gender,78,1.92277,1694068218365
279,14,0,tour,tour_time_gender_plot,0,0.0,1694068215530
280,9,3,hover,time_gender,47,1.64123,1694068222793
281,9,2,hover,time_gender,78,1.92277,1694068223634
282,14,0,tour,tour_applicant_list,0,0.0,1694068225257
283,9,3,hover,rating_race,47,1.64123,1694068228431
284,14,0,tour,tour_profile,0,0.0,1694068231544
285,9,11,hover,applicantList,93,3.09265,1694068239718
286,9,12,hover,applicantList,61,1.86955,1694068240095
287,9,3,hover,applicantList,78,1.92277,1694068242583
288,14,0,tour,tour_last_step,0,0.0,1694068240894
289,9,4,hover,applicantList,65,1.11362,1694068244452
290,9,1,hover,applicantList,75,0.955867,1694068244647
291,9,10,hover,applicantList,59,2.0878,1694068244754
292,14,0,tourFinished,,0,0.0,1694068244277
293,6,0,tour,tour_mySummary_tab,0,0.0,1694068249687
294,6,0,tour,tour_time_plot,0,0.0,1694068254977
295,6,0,tour,tour_rating_plot,0,0.0,1694068262179
296,6,0,tour,tour_time_gender_plot,0,0.0,1694068265539
297,14,0,hover,rating_gender,18,1.25375,1694068266312
298,6,0,tour,tour_applicant_list,0,0.0,1694068269391
299,14,11,hover,applicantList,66,4.079,1694068267572
300,14,4,hover,applicantList,8,6.34542,1694068267816
301,6,0,tour,tour_profile,0,0.0,1694068273326
302,9,10,hover,time_gender,65,1.11362,1694068275647
303,6,0,tour,tour_applicant_list,0,0.0,1694068275075
304,6,0,tour,tour_profile,0,0.0,1694068277506
305,9,4,hover,time_gender,47,1.64123,1694068278621
306,9,2,hover,time_gender,78,1.92277,1694068278696
307,6,0,tour,tour_last_step,0,0.0,1694068281741
308,6,0,tourFinished,,0,0.0,1694068284899
309,9,3,hover,applicantList,78,1.92277,1694068286608
310,9,2,hover,applicantList,47,1.64123,1694068287210
311,9,2,hover,applicantList,47,1.64123,1694068290745
312,9,10,hover,applicantList,59,2.0878,1694068290845
313,9,2,hover,applicantList,47,1.64123,1694068291512
314,9,3,hover,applicantList,78,1.92277,1694068291590
315,9,2,hover,applicantList,47,1.64123,1694068293108
316,6,3,enter,summary_view,0,0.0,1694068292603
317,6,3,leave,summary_view,0,0.0,1694068292601
318,6,6,hover,applicantList,40,2.05837,1694068294322
319,6,1,hover,applicantList,98,3.28655,1694068294566
320,6,6,hover,applicantList,40,2.05837,1694068294694
321,6,7,hover,applicantList,90,2.88182,1694068294708
322,6,12,hover,applicantList,80,2.74915,1694068294733
323,6,8,hover,applicantList,45,3.21685,1694068294753
324,6,2,hover,applicantList,60,3.31995,1694068295069
325,6,5,hover,applicantList,95,3.32667,1694068295388
326,9,10,hover,applicantList,59,2.0878,1694068296647
327,6,5,hover,applicantList,95,3.32667,1694068296602
328,9,1,hover,applicantList,75,0.955867,1694068297902
329,9,4,hover,applicantList,65,1.11362,1694068298867
330,9,12,hover,applicantList,61,1.86955,1694068298920
331,9,11,hover,applicantList,93,3.09265,1694068299177
332,6,2,hover,applicantList,60,3.31995,1694068298356
333,9,5,hover,applicantList,91,3.43507,1694068299558
334,6,8,hover,applicantList,45,3.21685,1694068298645
335,6,2,hover,applicantList,60,3.31995,1694068298979
336,9,9,hover,applicantList,89,4.46767,1694068300007
337,9,8,hover,applicantList,87,1.7817,1694068300086
338,6,5,hover,applicantList,95,3.32667,1694068299271
339,6,5,hover,applicantList,95,3.32667,1694068299897
340,14,11,hover,applicantList,66,4.079,1694068300569
341,14,9,hover,applicantList,90,2.79657,1694068300624
342,14,11,hover,applicantList,66,4.079,1694068301254
343,14,9,hover,applicantList,90,2.79657,1694068302174
344,14,10,hover,applicantList,13,2.12192,1694068302400
345,9,4,hover,applicantList,65,1.11362,1694068306114
346,9,8,hover,applicantList,87,1.7817,1694068308002
347,9,6,hover,applicantList,72,3.908,1694068308086
348,9,7,hover,applicantList,82,10.8739,1694068308243
349,14,11,hover,applicantList,66,4.079,1694068311065
350,14,4,hover,applicantList,8,6.34542,1694068311152
351,9,6,hover,applicantList,72,3.908,1694068314527
352,14,11,hover,applicantList,66,4.079,1694068311910
353,9,6,click,applicantList,72,3.908,1694068315211
354,6,2,hover,applicantList,60,3.31995,1694068315610
355,6,8,hover,applicantList,45,3.21685,1694068316176
356,6,2,hover,applicantList,60,3.31995,1694068316345
357,9,6,enter,summary_view,0,0.0,1694068319088
358,14,9,hover,applicantList,90,2.79657,1694068318392
359,9,0,hover,rating_gender,65,1.11362,1694068323264
360,9,7,hover,applicantList,82,10.8739,1694068323563
361,14,11,hover,applicantList,66,4.079,1694068321642
362,6,8,hover,applicantList,45,3.21685,1694068324532
363,6,12,hover,applicantList,80,2.74915,1694068324930
364,6,7,hover,applicantList,90,2.88182,1694068324959
365,6,8,hover,applicantList,45,3.21685,1694068325137
366,6,2,hover,applicantList,60,3.31995,1694068325567
367,6,8,hover,applicantList,45,3.21685,1694068326037
368,6,12,hover,applicantList,80,2.74915,1694068326128
369,9,3,hover,applicantList,78,1.92277,1694068327132
370,6,8,hover,applicantList,45,3.21685,1694068326466
371,6,2,hover,applicantList,60,3.31995,1694068326534
372,14,9,hover,applicantList,90,2.79657,1694068324936
373,14,11,hover,applicantList,66,4.079,1694068325802
374,6,5,hover,applicantList,95,3.32667,1694068327823
375,6,2,hover,applicantList,60,3.31995,1694068329234
376,6,8,hover,applicantList,45,3.21685,1694068330124
377,6,12,hover,applicantList,80,2.74915,1694068330570
378,6,7,hover,applicantList,90,2.88182,1694068330622
379,6,6,hover,applicantList,40,2.05837,1694068330646
380,6,1,hover,applicantList,98,3.28655,1694068330658
381,6,4,hover,applicantList,75,3.60253,1694068330682
382,6,9,hover,applicantList,99,2.28595,1694068330715
383,14,11,hover,rating_gender,66,4.079,1694068329474
384,14,11,click,genderRatingPoints,66,4.079,1694068331325
385,6,12,hover,applicantList,80,2.74915,1694068343197
386,6,7,hover,applicantList,90,2.88182,1694068343226
387,6,6,hover,applicantList,40,2.05837,1694068343236
388,6,1,hover,applicantList,98,3.28655,1694068343257
389,6,10,hover,applicantList,50,1.81303,1694068343565
390,6,3,hover,applicantList,90,2.09542,1694068343581
391,6,3,hover,applicantList,90,2.09542,1694068343803
392,6,10,hover,applicantList,50,1.81303,1694068343837
393,6,3,hover,applicantList,90,2.09542,1694068344003
394,6,10,hover,applicantList,50,1.81303,1694068344480
395,6,11,hover,applicantList,95,3.36567,1694068344674
396,6,9,hover,applicantList,99,2.28595,1694068344733
397,6,4,hover,applicantList,75,3.60253,1694068345072
398,6,1,hover,applicantList,98,3.28655,1694068345109
399,6,6,hover,applicantList,40,2.05837,1694068345132
400,6,7,hover,applicantList,90,2.88182,1694068345151
401,6,12,hover,applicantList,80,2.74915,1694068345184
402,6,3,hover,applicantList,90,2.09542,1694068346764
403,6,10,hover,applicantList,50,1.81303,1694068346778
404,6,11,hover,applicantList,95,3.36567,1694068346786
405,6,1,hover,applicantList,98,3.28655,1694068346826
406,6,6,hover,applicantList,40,2.05837,1694068346835
407,6,7,hover,applicantList,90,2.88182,1694068346853
408,6,12,hover,applicantList,80,2.74915,1694068346874
409,6,8,hover,applicantList,45,3.21685,1694068346908
410,6,5,hover,applicantList,95,3.32667,1694068347892
411,6,2,hover,applicantList,60,3.31995,1694068347968
412,6,8,hover,applicantList,45,3.21685,1694068348025
413,6,12,hover,applicantList,80,2.74915,1694068348064
414,6,7,hover,applicantList,90,2.88182,1694068348103
415,6,6,hover,applicantList,40,2.05837,1694068348135
416,6,6,hover,time_gender,99,2.28595,1694068348916
417,6,11,hover,applicantList,95,3.36567,1694068350729
418,6,7,hover,applicantList,90,2.88182,1694068351012
419,6,12,hover,applicantList,80,2.74915,1694068351027
