id,user_id,applicant_id,rating,add_timestamp
13,2,9,86,9/7/23 4:57
14,2,8,50,9/7/23 4:58
15,2,4,40,9/7/23 4:59
16,2,5,95,9/7/23 5:00
17,2,12,35,9/7/23 5:01
18,2,10,38,9/7/23 5:02
19,2,1,86,9/7/23 5:02
20,2,11,84,9/7/23 5:03
21,2,7,75,9/7/23 5:04
22,2,2,35,9/7/23 5:04
23,2,6,26,9/7/23 5:05
24,2,3,72,9/7/23 5:05
31,5,5,90,9/7/23 5:33
34,6,5,95,9/7/23 5:34
35,5,4,38,9/7/23 5:35
38,6,2,60,9/7/23 5:38
39,5,11,68,9/7/23 5:38
40,7,4,83,9/7/23 5:39
42,5,1,90,9/7/23 5:41
44,9,7,82,9/7/23 5:44
45,6,8,45,9/7/23 5:44
46,11,12,41,9/7/23 5:44
47,7,2,90,9/7/23 5:44
48,10,2,50,9/7/23 5:45
49,5,2,67,9/7/23 5:45
50,10,6,38,9/7/23 5:46
51,6,12,70,9/7/23 5:46
52,11,2,67,9/7/23 5:46
53,11,5,100,9/7/23 5:47
54,11,7,89,9/7/23 5:47
55,10,10,90,9/7/23 5:47
56,11,10,27,9/7/23 5:47
57,11,9,91,9/7/23 5:48
58,11,8,67,9/7/23 5:48
59,11,6,59,9/7/23 5:48
60,10,11,100,9/7/23 5:48
61,11,1,98,9/7/23 5:48
62,7,10,82,9/7/23 5:48
63,11,11,100,9/7/23 5:49
64,11,4,55,9/7/23 5:49
65,11,3,88,9/7/23 5:49
66,10,5,99,9/7/23 5:49
67,5,7,91,9/7/23 5:50
68,10,4,61,9/7/23 5:51
69,6,7,90,9/7/23 5:51
70,10,8,42,9/7/23 5:52
71,10,9,91,9/7/23 5:53
72,6,6,40,9/7/23 5:53
73,13,5,77,9/7/23 5:53
74,7,5,96,9/7/23 5:53
75,10,1,90,9/7/23 5:53
76,10,7,86,9/7/23 5:54
77,15,11,97,9/7/23 5:55
78,10,12,54,9/7/23 5:56
79,12,9,79,9/7/23 5:56
80,9,6,72,9/7/23 5:56
81,10,3,90,9/7/23 5:57
82,7,8,68,9/7/23 5:57
83,15,9,83,9/7/23 5:57
84,5,10,54,9/7/23 5:57
85,13,4,55,9/7/23 5:57
86,13,9,61,9/7/23 5:58
87,13,10,50,9/7/23 5:59
88,9,8,87,9/7/23 6:00
89,7,12,65,9/7/23 6:00
90,14,11,66,9/7/23 6:00
91,13,7,82,9/7/23 6:00
92,18,5,90,9/7/23 6:00
93,9,9,89,9/7/23 6:00
94,6,1,98,9/7/23 6:01
95,13,11,100,9/7/23 6:02
96,20,1,56,9/7/23 6:03
97,18,8,62,9/7/23 6:03
98,7,6,64,9/7/23 6:03
99,16,4,70,9/7/23 6:05
101,20,11,79,9/7/23 6:05
102,13,12,26,9/7/23 6:06
103,7,1,96,9/7/23 6:06
104,17,4,80,9/7/23 6:07
105,9,5,91,9/7/23 6:07
106,20,9,29,9/7/23 6:07
107,18,10,69,9/7/23 6:08
108,5,6,44,9/7/23 6:08
109,13,1,62,9/7/23 6:08
110,23,7,90,9/7/23 6:08
111,13,2,47,9/7/23 6:08
112,20,12,26,9/7/23 6:08
113,12,7,65,9/7/23 6:08
114,20,7,27,9/7/23 6:09
115,18,12,81,9/7/23 6:09
116,14,1,97,9/7/23 6:09
117,22,7,80,9/7/23 6:10
118,14,5,94,9/7/23 6:10
119,20,8,42,9/7/23 6:10
120,9,11,93,9/7/23 6:10
121,18,6,36,9/7/23 6:10
122,14,7,94,9/7/23 6:11
123,18,7,75,9/7/23 6:11
124,14,3,95,9/7/23 6:11
125,20,5,53,9/7/23 6:11
126,17,7,94,9/7/23 6:11
127,16,10,70,9/7/23 6:11
128,15,7,84,9/7/23 6:11
129,13,8,55,9/7/23 6:11
130,7,9,66,9/7/23 6:11
131,27,5,90,9/7/23 6:12
132,25,2,63,9/7/23 6:12
133,9,12,61,9/7/23 6:12
134,12,10,62,9/7/23 6:12
135,18,1,79,9/7/23 6:12
136,20,10,19,9/7/23 6:13
137,5,8,38,9/7/23 6:13
138,13,6,41,9/7/23 6:13
139,9,4,65,9/7/23 6:13
140,18,9,92,9/7/23 6:13
141,20,4,21,9/7/23 6:13
142,28,6,98,9/7/23 6:14
143,8,2,35,9/7/23 6:14
144,20,6,19,9/7/23 6:14
145,26,11,85,9/7/23 6:14
146,18,4,24,9/7/23 6:14
147,7,7,85,9/7/23 6:14
148,29,9,89,9/7/23 6:14
149,20,2,19,9/7/23 6:14
150,25,5,100,9/7/23 6:15
151,15,10,63,9/7/23 6:15
152,18,2,81,9/7/23 6:15
153,20,3,53,9/7/23 6:15
154,30,6,32,9/7/23 6:15
155,18,11,53,9/7/23 6:16
156,13,3,87,9/7/23 6:16
157,17,8,74,9/7/23 6:16
158,14,4,8,9/7/23 6:16
159,23,9,95,9/7/23 6:16
160,16,7,85,9/7/23 6:16
161,9,1,75,9/7/23 6:17
162,32,12,50,9/7/23 6:17
163,26,2,50,9/7/23 6:17
164,28,5,91,9/7/23 6:18
166,7,11,92,9/7/23 6:18
167,23,12,60,9/7/23 6:18
168,15,2,65,9/7/23 6:18
169,17,1,100,9/7/23 6:18
170,9,10,59,9/7/23 6:19
171,18,3,29,9/7/23 6:20
173,23,1,96,9/7/23 6:20
174,8,4,35,9/7/23 6:20
175,9,2,47,9/7/23 6:20
176,22,2,40,9/7/23 6:20
177,6,4,75,9/7/23 6:21
178,25,4,56,9/7/23 6:21
180,7,3,88,9/7/23 6:21
181,14,9,90,9/7/23 6:21
182,26,10,55,9/7/23 6:21
183,23,4,55,9/7/23 6:21
185,16,11,95,9/7/23 6:22
186,14,10,13,9/7/23 6:22
187,9,3,78,9/7/23 6:22
188,12,12,57,9/7/23 6:22
189,8,11,100,9/7/23 6:23
190,5,12,67,9/7/23 6:23
191,6,9,99,9/7/23 6:23
192,14,8,93,9/7/23 6:23
193,34,12,57,9/7/23 6:23
195,30,12,25,9/7/23 6:23
196,15,5,95,9/7/23 6:23
197,23,2,55,9/7/23 6:23
198,29,4,100,9/7/23 6:23
199,26,5,85,9/7/23 6:23
201,17,2,81,9/7/23 6:24
202,25,9,90,9/7/23 6:24
203,22,6,45,9/7/23 6:24
205,14,12,4,9/7/23 6:25
206,26,12,45,9/7/23 6:25
207,40,8,37,9/7/23 6:25
208,23,8,70,9/7/23 6:25
