user_id,applicant_id,total_before,total_after,total_change
2,1,1.05715,1.05715,0.0
2,2,0.6685333333333333,0.6685333333333333,0.0
2,3,0.39951666666666663,0.39951666666666663,0.0
2,4,0.7583333333333334,0.9082333333333334,0.1499
2,5,1.3567,1.5036666666666667,0.14696666666666666
2,6,0.4008,0.4008,0.0
2,7,0.5658666666666667,0.5658666666666667,0.0
2,8,0.9332833333333334,1.38655,0.45326666666666665
2,9,3.463966666666667,4.85975,1.3957833333333336
2,10,0.5192166666666667,0.5192166666666667,0.0
2,11,0.7525666666666667,0.7525666666666667,0.0
2,12,0.6237333333333334,1.0757666666666668,0.45203333333333334
10,1,0.7124499999999999,0.7124499999999999,0.0
10,2,2.3751333333333333,2.3751333333333333,0.0
10,3,0.9021166666666666,0.9021166666666666,0.0
10,4,1.1768166666666666,1.1768166666666666,0.0
10,5,1.1324666666666667,1.1324666666666667,0.0
10,6,1.3395666666666668,1.3395666666666668,0.0
10,7,0.8259666666666667,0.8259666666666667,0.0
10,8,1.1202333333333334,1.1202333333333334,0.0
10,9,0.9685999999999999,1.7242666666666664,0.7556666666666666
10,10,1.08125,1.08125,0.0
10,11,1.0925,1.0925,0.0
10,12,1.3326999999999998,1.3326999999999998,0.0
11,1,0.3609166666666666,0.3609166666666666,0.0
11,2,1.0180833333333332,1.0823333333333331,0.06425
11,3,0.4714333333333333,0.4714333333333333,0.0
11,4,0.10381666666666667,0.10381666666666667,0.0
11,5,0.27923333333333333,0.27923333333333333,0.0
11,6,0.31973333333333337,0.31973333333333337,0.0
11,7,0.32353333333333334,0.32353333333333334,0.0
11,8,0.2890666666666667,0.2890666666666667,0.0
11,9,0.12718333333333334,0.12718333333333334,0.0
11,10,0.16691666666666669,0.16691666666666669,0.0
11,11,0.14118333333333333,0.14118333333333333,0.0
11,12,2.5261166666666663,2.5261166666666663,0.0
18,1,0.4205,0.4205,0.0
18,2,0.41153333333333325,0.41153333333333325,0.0
18,3,0.45676666666666665,0.45676666666666665,0.0
18,4,0.43653333333333333,0.43653333333333333,0.0
18,5,1.2439000000000004,1.2439000000000004,0.0
18,6,0.5286333333333333,0.5286333333333333,0.0
18,7,0.45100000000000007,0.45100000000000007,0.0
18,8,0.61505,0.61505,0.0
18,9,0.5435,0.5435,0.0
18,10,0.45431666666666665,0.45431666666666665,0.0
18,11,0.4296833333333333,0.4296833333333333,0.0
18,12,0.6667666666666666,0.6667666666666666,0.0
7,1,3.3187666666666673,3.3187666666666673,0.0
7,2,4.915716666666667,4.915716666666667,0.0
7,3,2.7158999999999995,2.7158999999999995,0.0
7,4,6.694783333333335,7.001350000000002,0.30656666666666665
7,5,4.9316499999999985,4.9316499999999985,0.0
7,6,3.410266666666666,3.410266666666666,0.0
7,7,3.0626166666666665,3.0626166666666665,0.0
7,8,3.7757333333333336,3.7757333333333336,0.0
7,9,3.9701333333333335,3.9701333333333335,0.0
7,10,4.25085,4.25085,0.0
7,11,3.69855,3.69855,0.0
7,12,3.1601333333333326,3.1601333333333326,0.0
13,1,1.7811666666666666,1.7811666666666666,0.0
13,2,0.39743333333333336,0.39743333333333336,0.0
13,3,1.1641166666666665,1.1641166666666665,0.0
13,4,1.20485,1.20485,0.0
13,5,3.3564166666666666,3.3564166666666666,0.0
13,6,1.2957666666666667,1.2957666666666667,0.0
13,7,1.5677333333333334,1.5677333333333334,0.0
13,8,0.7320500000000001,0.7320500000000001,0.0
13,9,1.05735,1.05735,0.0
13,10,0.7150333333333334,0.7150333333333334,0.0
13,11,1.8922999999999999,1.8922999999999999,0.0
13,12,1.7220166666666668,4.572116666666666,2.8501
6,1,3.2865499999999996,3.2865499999999996,0.0
6,2,3.3199499999999995,3.445833333333333,0.12588333333333335
6,3,2.095416666666667,2.095416666666667,0.0
6,4,3.6025333333333336,3.6441333333333334,0.0416
6,5,3.326666666666667,3.326666666666667,0.0
6,6,2.0583666666666667,2.0583666666666667,0.0
6,7,2.881816666666667,2.881816666666667,0.0
6,8,3.21685,3.21685,0.0
6,9,2.2859499999999997,2.2859499999999997,0.0
6,10,1.8130333333333333,2.1226,0.3095666666666667
6,11,3.365666666666667,3.365666666666667,0.0
6,12,2.74915,2.74915,0.0
23,1,1.7209833333333335,1.7209833333333335,0.0
23,2,1.7723166666666665,1.7723166666666665,0.0
23,3,1.6686666666666663,1.6686666666666663,0.0
23,4,1.7331,1.7331,0.0
23,5,0.8919166666666667,0.8919166666666667,0.0
23,6,2.0905,2.0905,0.0
23,7,6.496616666666667,6.496616666666667,0.0
23,8,1.7767499999999998,1.7767499999999998,0.0
23,9,2.47735,2.47735,0.0
23,10,1.2695499999999997,1.2695499999999997,0.0
23,11,1.9101333333333332,1.9101333333333332,0.0
23,12,1.7669500000000002,1.7669500000000002,0.0
26,1,1.2912000000000001,1.2912000000000001,0.0
26,2,2.25585,2.25585,0.0
26,3,1.49385,1.49385,0.0
26,4,1.4818999999999998,1.4818999999999998,0.0
26,5,2.406283333333333,2.406283333333333,0.0
26,6,1.7690833333333336,1.7690833333333336,0.0
26,7,2.1805333333333334,2.1805333333333334,0.0
26,8,2.5961,2.5961,0.0
26,9,1.652816666666667,1.652816666666667,0.0
26,10,4.244600000000002,4.244600000000002,0.0
26,11,2.9161500000000005,2.9161500000000005,0.0
26,12,1.5914999999999997,1.5914999999999997,0.0
20,1,0.49599999999999994,0.5810166666666666,0.08501666666666667
20,2,0.5956666666666667,0.5956666666666667,0.0
20,3,0.19488333333333333,0.19488333333333333,0.0
20,4,0.2638666666666667,0.2638666666666667,0.0
