user_id,applicant_id,total_time,GENDER,RACE
12,111,7.11667,M,ASIAN
1,2,4.08333,M,ASIAN
1,6,3.51667,F,ASIAN
1,10,5.15,M,OTHER
1,11,2.66667,M,ASIAN
1,16,2.9,F,ASIAN
1,21,2.46667,F,ASIAN
1,19,3.45,M,ASIAN
1,40,2.35,F,ASIAN
1,47,1.61667,F,ASIAN
1,48,2.66667,M,ASIAN
1,61,4.35,M,ASIAN
9,98,9.25,F,OTHER
9,58,13.8833,M,OTHER
9,59,11.65,F,ASIAN
9,67,8.71667,M,OTHER
11,129,4.25,F,ASIAN
9,75,11.2667,F,ASIAN
11,154,6.51667,M,ASIAN
12,115,8.61667,F,OTHER
12,122,5.11667,M,ASIAN
9,81,5.78333,M,ASIAN
12,129,5.95,F,ASIAN
12,136,5.91667,F,ASIAN
9,82,8.05,M,ASIAN
9,102,12.85,F,WHITE
12,95,6.51667,M,ASIAN
9,108,7.56667,M,BLACK
12,145,6.58333,Unknown,OTHER
9,117,7.15,M,OTHER
9,124,16.85,M,OTHER
9,127,15.5667,Unknown,OTHER
9,128,11.7167,F,ASIAN
9,133,13.4,M,ASIAN
9,134,8.2,M,ASIAN
9,144,7.46667,F,ASIAN
9,152,8.2,M,ASIAN
9,159,13.4667,F,ASIAN
9,2,5.53333,M,ASIAN
7,7,8.36667,M,BLACK
7,12,6.8,F,BLACK
7,15,2.65,M,BLACK
7,25,2.25,F,ASIAN
7,29,5.66667,M,ASIAN
7,33,4.46667,M,ASIAN
7,37,2.51667,F,ASIAN
7,57,4.86667,M,ASIAN
7,79,3.46667,M,ASIAN
7,86,3.53333,M,OTHER
7,93,5.3,M,ASIAN
7,100,3.85,M,ASIAN
7,107,3.41667,M,OTHER
7,113,3.4,F,ASIAN
7,114,4.43333,M,ASIAN
7,121,3.96667,M,ASIAN
7,122,3.26667,M,ASIAN
7,123,9.28333,M,ASIAN
7,127,7.95,Unknown,OTHER
7,129,2.26667,F,ASIAN
7,135,3.51667,M,ASIAN
7,139,5.01667,M,ASIAN
7,143,3.46667,M,ASIAN
7,146,3.58333,F,HISPA
7,147,4.81667,M,ASIAN
7,157,4.31667,M,OTHER
7,159,4.21667,F,ASIAN
11,12,14.2667,F,BLACK
9,107,19.4667,M,OTHER
1,67,3.83333,M,OTHER
1,68,6.53333,M,ASIAN
1,71,1.65,M,ASIAN
9,146,11.55,F,HISPA
1,73,5.1,F,ASIAN
1,74,1.98333,M,ASIAN
1,84,2.53333,M,ASIAN
1,88,3.03333,Unknown,OTHER
1,92,2.53333,M,ASIAN
1,120,2.78333,M,ASIAN
1,126,3.46667,M,ASIAN
1,136,2.51667,F,ASIAN
1,137,3.68333,M,ASIAN
1,138,2.6,F,ASIAN
1,139,3.35,M,ASIAN
1,141,2.83333,F,OTHER
1,145,6.38333,Unknown,OTHER
1,153,6.73333,M,ASIAN
1,155,4.01667,M,ASIAN
7,110,0.6,M,ASIAN
